1,2,3,4,5,6
178,41,55,189,71,83
193,28,23,201,60,56
222,80,3,226,105,39
226,122,29,230,141,61
230,170,25,233,182,57
239,206,16,241,213,50
224,230,26,228,233,58
172,214,42,183,219,72
128,200,55,146,207,83
76,168,43,101,180,73
34,139,34,65,155,65
34,159,110,65,172,130
32,178,170,63,189,182
96,182,202,118,192,209
147,189,231,162,198,234
127,145,195,145,160,203
111,109,167,131,129,179
87,85,151,111,109,165
67,65,135,93,92,152
31,29,109,63,61,129
59,37,109,87,68,129
80,46,114,105,75,134
128,82,154,146,106,168
166,112,184,178,132,194
166,96,172,178,118,183
166,80,160,178,105,173
166,53,140,178,81,156
166,53,112,178,81,132
162,57,91,175,85,114
